product,brand,reviewer,review_type,skin_type,acne_prone,tone,undertone,shade,stayed_matte,wear_hours,broke_out,oxidized,would_repurchase,overall,is_sponsored,key_quote
Catrice HD Liquid Coverage,Catrice,Taylor Wynn,single_review,combination,yes,light,neutral,010 Light Beige,mostly,8,not_mentioned,yes,not_mentioned,positive,False,I love how it went on love the coverage the finish of it it's beautiful
Catrice HD Liquid Coverage,Catrice,Thrift Thick,single_review,oily,unknown,light,neutral,light beige,no,12,not_mentioned,no,not_mentioned,positive,False,I have gotten oily again here or a bit oily looking however please correct me if I'm wrong but my skin looks fantastic and by my skin I mean this foundation it looks so fresh and beautiful and natural and nice it has been lightweight throughout the day
Catrice HD Liquid Coverage,Catrice,StephiRaye,single_review,combination,yes,unknown,unknown,40 Warm Beige,mostly,8,no,no,yes,positive,False,this foundation is so good you guys if you want to try it out it's one of the best foundations I've ever tried
Catrice HD Liquid Coverage,Catrice,Zoey Noel,single_review,dry,unknown,medium,warm,latte macchiato beige 060,mostly,9,not_mentioned,yes,yes,positive,False,For the most part though it held up really well my only dilemma is that i feel like the foundation oxidized throughout the day...other than those two things where it just kind of rubbed off in a few places...it held up really well and it looks really good on the skin still.
Catrice HD Liquid Coverage,Catrice,Ivory Cherry,single_review,oily,yes,unknown,neutral,neutral toffee (046),mostly,10,not_mentioned,not_mentioned,not_mentioned,positive,False,"Overall I really like how the foundation is wearing... it looks pretty good... it looks pretty good, it's holding together pretty well after I blotted it... it looks pretty much perfect in my t-zone... I really like how everything's looking."
Catrice HD Liquid Coverage,Catrice,Ashley Roark,comparison,combination,yes,light,warm,sand beige,mostly,4.5,not_mentioned,no,not_mentioned,positive,False,Performance-wise the way it applies the coverage the way everything with the new one is the exact same as the old one you can't tell from side to side that I have a different foundation on however I will say I am abnormally shiny
Charlotte Tilbury Airbrush Flawless,Charlotte Tilbury,Thrift Thick,single_review,oily,yes,medium,neutral,3 neutral,no,6,yes,not_mentioned,not_mentioned,mixed,False,it smells good but my skin doesn't like it I can already tell you I am already starting to see some forehead pimples that I am pretty sure are because of this stupid fragrance in this foundation
Charlotte Tilbury Airbrush Flawless,Charlotte Tilbury,Kirsty Lo,comparison,oily,yes,light,warm,"2W2 Rattan (Estee Lauder), 5.5 (Charlotte Tilbury)",mostly,14,not_mentioned,no,yes,positive,False,i think the charlotte tilbury foundation wins this battle just by a little bit purely because of the coverage it's the coverage that has won this battle for me hands down and i think i've got a new favorite foundation
Charlotte Tilbury Airbrush Flawless,Charlotte Tilbury,Magdaline Janet,single_review,oily,unknown,unknown,neutral,7.5 neutral,mostly,12,not_mentioned,yes,not_mentioned,positive,False,"""at this point this is while i was all nasty and sweaty the foundation looked really really good well put together"""
Charlotte Tilbury Airbrush Flawless,Charlotte Tilbury,Kirsty Lo,comparison,combination,yes,medium,olive,"5.5 neutral (Charlotte Tilbury), Stromboli (NARS)",mostly,12,not_mentioned,yes,not_mentioned,positive,False,the winner would definitely be the charlotte tilbury airbrush flawless foundation purely because it controlled my oils all day and night and it gave my skin this beautiful flawless filtered effect on my skin
Charlotte Tilbury Airbrush Flawless,Charlotte Tilbury,Kirsty Lo,comparison,oily,yes,medium,olive,5.5 neutral (Charlotte Tilbury),mostly,12,no,yes,not_mentioned,positive,False,The Clinique Even Better clinical serum Foundation is absolutely beautiful on my skin even after 12 hours of work controlled my oils so so well and the fact that it is a full coverage Foundation it's still very lightweight and comfortable and it's definitely suitable to wear every day.
Charlotte Tilbury Airbrush Flawless,Charlotte Tilbury,Nina Ubhi Beauty & Fashion,single_review,combination,unknown,medium,neutral,7 Neutral,mostly,3,not_mentioned,no,not_mentioned,positive,True,"I'm really getting this product into the brush... I love it. I just love how it does actually cover everything up, but it's not kind of... I'm really liking this, guys. Like even the spray on the sponge is not much different to the other spray... Honestly, best brow wax ever. Wow, this foundation looks so good. I'm interested to go and see it in daylight... very lightweight. It doesn't feel heavy. It doesn't feel tight."
Clinique Even Better,Clinique,Magdaline Janet,single_review,oily,unknown,medium,warm,56 Cashew,mostly,12,not_mentioned,yes,not_mentioned,mixed,False,I feel like the skin does look nice the foundation is a very very lightweight foundation I think that my skin looks a little bit on the oily side but it's not a like matte or full coverage foundation it's just like a skin hugging loving foundation
Clinique Even Better,Clinique,Sasha Stockwell,single_review,oily,yes,light,unknown,cn08 linen,mostly,10,no,no,yes,positive,False,"""Overall i'm pretty pleased with this foundation i am pleasantly surprised"""
Clinique Even Better,Clinique,Samantha Schuerman,single_review,oily,yes,unknown,unknown,wn48 oat,no,4,not_mentioned,not_mentioned,not_mentioned,mixed,False,when you first put it on you literally look like a million bucks like it's so gorgeous on the skin ... but then for some reason on me it was just not looking good after about four or five hours
Clinique Even Better,Clinique,Thrift Thick,single_review,oily,unknown,unknown,unknown,CN 18 Cream Whip,mostly,11.5,not_mentioned,no,not_mentioned,mixed,False,this foundation wasn't super great for me but it has its pluses in mind I just pros and cons
Clinique Even Better,Clinique,Steff’s Beauty Stash,single_review,normal oily,unknown,medium,warm,light warm 1,mostly,10,not_mentioned,no,not_mentioned,positive,False,"Overall, I would say this foundation has done a great job at helping me control my oil. Everything looks good. Like the coverage has definitely held up."
CoverGirl Outlast,CoverGirl,Samantha Jane,single_review,oily acne prone,yes,tan,unknown,Classic Tan,mostly,12,no,yes,not_mentioned,positive,False,I am so happy with this Foundation... it looks basically exactly the same as when I put it on this morning... it's literally been 12 hours and I think I could honestly wear for another 12 hours and it wouldn't budge
CoverGirl Outlast,CoverGirl,SariReanna,single_review,combination,yes,light,neutral,910 classic Ivory,yes,11,no,no,not_mentioned,mixed,False,this Foundation is not going anywhere it doesn't transfer it's not wearing off it's just like not budging at all
CoverGirl Outlast,CoverGirl,Hailey O,single_review,oily,unknown,medium,unknown,825,no,10,not_mentioned,not_mentioned,not_mentioned,mixed,False,It gets shiny but it doesn't actually dissolve which is good ... my face is basically dissolving the foundation but it's not doing that yet ... slowly the foundation is sort of wearing away ... it is starting to break down ... it's not looking very nice here
CoverGirl Outlast,CoverGirl,Thrift Thick,single_review,oily,unknown,light,unknown,810 Classic Ivory,mostly,13,not_mentioned,not_mentioned,yes,positive,False,This truly is almost completely transferred proof... even when I am sweaty and stuff like I'm so in shock every time I touch my face.
CoverGirl Outlast,CoverGirl,Samantha Jane,single_review,oily,unknown,tan,neutral,862 natural tan,mostly,12,not_mentioned,no,yes,positive,False,I really love this foundation ... I think this is a really beautiful foundation and I really really like ... I've had this one on for a very long time almost 12 hours now ... did not oxidize ... it's a good shade match ...
CoverGirl Outlast,CoverGirl,Jessica Romua ,single_review,oily,unknown,medium,warm,golden tan,mostly,10.5,not_mentioned,yes,not_mentioned,positive,False,I have to say this is a good full coverage foundation because it just left it looking fantastic... I do feel like this foundation does slightly oxidize... it's definitely setting into like this soft matte finish that I'm really really appreciating... by the end of the day for the person that has very oily skin this is what you'll probably be looking like by the end of the day so definitely will get dewy... I would say for the person who is oily skin that's looking for something to be mad or keep them oil free and look completely over you will have to go in and blot.
Dior Forever,Dior,Magdaline Janet,single_review,oily,unknown,medium,neutral,4N Neutral,mostly,14,no,yes,yes,positive,False,I really like this foundation I think it worked out very very well on oily skin... it is a very long lasting foundation except for the shade it was my fault I did choose the wrong shade... it didn't break my skin out... I will definitely buy this foundation again.
Dior Forever,Dior,Charisse Daily,single_review,combination oily,unknown,medium,unknown,shade 3 (darker than skin tone),mostly,9.5,not_mentioned,yes,no,mixed,False,I can really see the radiance on my face especially on my cheekbones...it really oxidized on me...I think it's really oxidizing on my face...the foundation is still intact...I'm giving this Foundation a 2.5 stars out of five stars...the reason I'm only giving this at 2.5 stars is because I'm really missing the radiance...I can't find the ingredients...I wouldn't recommend this for an everyday foundation
Dior Forever,Dior,HotandFlashy,single_review,normal,yes,light,neutral,2.5N,mostly,10,not_mentioned,no,yes,positive,False,It's held up perfectly there's hardly anything wrong with this foundation even after 10 hours even after a hot humid day it's still making my pores look reduced it still hasn't settled in a single wrinkle anywhere on my face
Dior Forever,Dior,Magdaline Janet,single_review,oily,unknown,tan,neutral,4N,mostly,12,not_mentioned,no,not_mentioned,positive,False,Overall skin was looking pretty good 12 hours later... it just makes your skin look beautiful... I love the blendability you can build it you can wear it all day
Dior Forever,Dior,Morgan Turner,single_review,dry,yes,unknown,unknown,2N and 2.5 for forever matte,mostly,,no,no,yes,positive,False,I love this Foundation because even though it's matte I don't feel like it's too drying on my skin and I do have a little bit of acne going on around my chin just a couple spots and I'm going to show you how this covers
Dior Forever,Dior,Michele Wang,single_review,dry,unknown,unknown,neutral,1.5N,not_tested,,not_mentioned,not_mentioned,not_mentioned,mixed,False,"I feel like the finish of this foundation is a little bit more natural than glowy, which is very, very interesting... I think this is a nice glow foundation for someone with like normal to oily skin but if you have dry skin and you really like that glow like I do, I don't think you're going to get it."
Estee Lauder Double Wear,Estée Lauder,Samantha Jane,single_review,oily,yes,medium,warm,4W2 (toasty toffee),mostly,11,not_mentioned,no,not_mentioned,positive,False,"I think it looks really, really good. Definitely shiny... but I have incredibly oily skin and I'm going to get shiny no matter what... I don't feel like it wore off at all."
Estee Lauder Double Wear,Estée Lauder,KWKosta,single_review,oily,yes,unknown,neutral,1W1,mostly,10,not_mentioned,no,yes,mixed,False,"""It is quite matte which is good for oily skin but again like I said if it feels so much to the point where it doesn't feel about comfortable I wouldn't recommend it"""
Estee Lauder Double Wear,Estée Lauder,Magdaline Janet,comparison,oily,unknown,unknown,neutral,"4W1 Shell Beige (old), 4C3 Soft10 (new, wrong shade but used)",mostly,12,not_mentioned,yes,yes,positive,False,At the end of the day I feel like they're very very similar... if you like a mat a little heavier more coverage the originals your girl it doesn't move but also the new one on a radiant natural glow and it doesn't move this is your girl too.
Estee Lauder Double Wear,Estée Lauder,Kirsty Lo,comparison,oily,yes,medium,warm,3W1 Tawny,mostly,12,not_mentioned,no,yes,positive,False,this double wear side never ever lets me down it is still looking flawless even after 12 13 hours of wear it is still looking very very good it's controlled my oils so well
Estee Lauder Double Wear,Estée Lauder,MakeupByCheryl,comparison,normal leaning dry,unknown,tan,neutral,4N1 Shell Beige,mostly,24,not_mentioned,no,yes,mixed,False,"The new reformulation, although beautiful and actually looks a little bit better on my skin... but for me, this isn't simple. It's not a simple review."
Fenty Pro Filtr Soft Matte,Fenty Beauty,Nikkia Joy,single_review,oily,unknown,medium,warm,294,mostly,6,not_mentioned,yes,not_mentioned,positive,False,Can you believe I nearly bought shade 300 haha I would have been a little Oompa Loompa in that Charlie Chocolate Factory.
Fenty Pro Filtr Soft Matte,Fenty Beauty,Tien Le,single_review,oily-combination,unknown,medium,olive,290,mostly,10,not_mentioned,no,yes,positive,False,I give it a thumbs up I really liked it I liked how it performed it lasted all day on me and nothing moved around
Fenty Pro Filtr Soft Matte,Fenty Beauty,Taylor Wynn,single_review,combination,unknown,light,unknown,mixed 110 and 120,no,4,not_mentioned,yes,no,negative,False,I would never put this on my face again now that it's been on for what a half hour about
Fenty Pro Filtr Soft Matte,Fenty Beauty,Brunellesp,single_review,oily,unknown,medium,unknown,420,mostly,10,not_mentioned,yes,not_mentioned,mixed,False,so far if you have got fine hairs on your face this will show them up like nobody's business...it dries very matte which is surprisingly nice...but the separation here and that clear discoloration...my pores look massive and I mean huge emphasize...
Fenty Pro Filtr Soft Matte,Fenty Beauty,Kat / kitschsnitch,single_review,oily combination,unknown,light,cool,170,mostly,6,not_mentioned,no,not_mentioned,positive,False,I've had this foundation on for 6 hours or just over 6 hours and I really like it... the makeup has not broken down and it's mainly just shiny on my forehead as well... the rest of my face seems quite good around my nose it hasn't really broken down much at all.
Fenty Pro Filtr Soft Matte,Fenty Beauty,ohheythistoo,single_review,oily,yes,unknown,unknown,,mostly,,no,yes,not_mentioned,mixed,False,"If you apply this foundation properly, it just looks like you've got amazing skin... it looks matte but somehow healthy-looking... it dries down quite a bit darker than it is in the bottle... this foundation is one of the best oil controlling foundations I've ever used."
Fenty Pro Filtr Soft Matte,Fenty Beauty,Samantha Jane,single_review,unknown,unknown,unknown,unknown,310,mostly,,not_mentioned,yes,yes,positive,False,I like a sponge I like a hydrating primer under there to smooth things out but I do think it looks very very smooth on the skin considering how matte it is it feels really like almost nothing on the face
Fenty Pro Filtr Soft Matte,Fenty Beauty,Ndeye Peinda,comparison,combination,unknown,deep,unknown,480,mostly,6,not_mentioned,no,not_mentioned,positive,False,"The hydrating side looks more natural, it looks more skin like and if you want someone that wants your skin to look like skin then you're definitely to love this."
Fenty Pro Filtr Soft Matte,Fenty Beauty,Rachel Bronson,single_review,oily,unknown,unknown,unknown,420,mostly,9,not_mentioned,yes,yes,positive,False,the beauty of these fancy products is I did a flashback test so this foundation like past the flashback test and it's just amazing you can wear it at night you don't have to be scared that maybe the flash photography will be crazy
Fenty Pro Filtr Soft Matte,Fenty Beauty,Ivory Cherry,single_review,oily combination,yes,medium,unknown,300,mostly,10,not_mentioned,no,not_mentioned,mixed,False,I definitely could have added some setting spray to mix the foundation but I just knew that in a couple hours my oils were going to come through and then kind of fix the dry situation and it did
Fenty Pro Filtr Soft Matte,Fenty Beauty,Kirsty Lo,single_review,oily,yes,unknown,unknown,shade number nine,no,12,not_mentioned,not_mentioned,no,negative,False,because of the blurring complex that's in this skin tint which makes it hydrating that just wasn't right for my oily skin type it just made my oils come through way quicker than it should
Fenty Pro Filtr Soft Matte,Fenty Beauty,BiancaReneeToday,single_review,oily,unknown,medium,unknown,360,mostly,8,not_mentioned,no,not_mentioned,positive,False,i do like this foundation i would recommend it especially if you have oily skin i like how matte it is it is very buildable
Fenty Pro Filtr Soft Matte,Fenty Beauty,Sasha Stockwell,single_review,oily,yes,unknown,unknown,185,mostly,11,not_mentioned,no,yes,positive,False,The makeup obviously is not perfect however I am extremely impressed with this foundation... it feels light on the skin even after 11 hours... the foundation itself stood its ground it still looks pretty good for 11 hours of wear
Fenty Pro Filtr Soft Matte,Fenty Beauty,KayleighMC,single_review,oily/combination,yes,light,unknown,120,mostly,7,not_mentioned,yes,not_mentioned,positive,False,after about seven hours when i first noticed it getting like a little bit oily on my chin and around my nose a little bit on my forehead i think seven hours is a decent amount of time
Fenty Pro Filtr Soft Matte,Fenty Beauty,Charisse Daily,roundup,combination,unknown,medium,neutral,230,mostly,8,not_mentioned,no,not_mentioned,positive,False,I really love the formulation of this Foundation I love that it gave me that filtered look it really gave me a soft matte finish but it didn't lay flat on my skin it really still gave my skin that bounce so it doesn't look very matte and dry on my face all while controlling my oil
Fenty Pro Filtr Soft Matte,Fenty Beauty,Naseem Larson,single_review,combination,unknown,light,unknown,190,mostly,12,not_mentioned,no,not_mentioned,positive,False,It is safe to say that I really like this Foundation... even after 12 hours it's giving me solid coverage without any like splotchiness and still looks pretty decent
Fenty Pro Filtr Soft Matte,Fenty Beauty,Magdaline Janet,single_review,oily,unknown,medium,neutral,280 and 295,mostly,12,not_mentioned,yes,not_mentioned,positive,False,this is truly a lightweight luminous long wear blurring Foundation literally what the description says is literally what you get in this Foundation
Fenty Pro Filtr Soft Matte,Fenty Beauty,Sam Robinson,roundup,combination,yes,medium,warm,240,not_tested,,not_mentioned,not_mentioned,not_mentioned,positive,False,"This feels so light on the face. Shade wise, we're looking good. Consistency. We love to see it. Thank you, Fenty."
Fenty Pro Filtr Soft Matte,Fenty Beauty,Miss Mercedes Monaee,comparison,combination oily normal,unknown,medium,neutral,385,mostly,10,not_mentioned,not_mentioned,not_mentioned,positive,False,for the most part both the soft lit and the pro filter are wearing decently I would say overall they both wore pretty well
Fenty Pro Filtr Soft Matte,Fenty Beauty,Mae Sitler,single_review,oily,yes,light,warm,190,no,8,no,no,not_mentioned,positive,True,I just know on its own this isn't enough for me... I need to pair it with a primer definitely a heavier setting powder and a setting spray... for it being on its own in a naturally luminous Foundation it's doing pretty
Fenty Pro Filtr Soft Matte,Fenty Beauty,Simply Kee Samone,single_review,acne prone,yes,light,unknown,360,yes,,not_mentioned,not_mentioned,not_mentioned,positive,False,it's definitely giving matte okay okay ... I'm definitely going to give this a 10 out of 10
Giorgio Armani Luminous Silk,Giorgio Armani,Fab Jennie,single_review,combination oily,unknown,medium,warm,11.5,mostly,6,no,yes,no,mixed,False,with my combination oily skin it didn't look too greasy it looked dewy after about 6 hours but it didn't look like ridiculously nasty greasy so I was very pleasantly surprised
Giorgio Armani Luminous Silk,Giorgio Armani,Magdaline Janet,single_review,oily,unknown,unknown,unknown,8,mostly,12,not_mentioned,no,yes,positive,False,this makeup like I have nothing on it is your skin but better with more coverage
Giorgio Armani Luminous Silk,Giorgio Armani,Angelina Serena,single_review,combination to dry,yes,medium,unknown,7.5,mostly,,not_mentioned,no,not_mentioned,positive,False,It looks really good no matter what skin issues I'm having... it looks so natural and just really natural not overly dewy not overly matte... it's kind of perfect because you know it's always gonna find a way to look good
Giorgio Armani Luminous Silk,Giorgio Armani,j0annepan,single_review,"combination, sensitive",yes,light,neutral,4.5,mostly,12,no,no,not_mentioned,mixed,False,I like that the product was easy to blend and that it set down to a satin finish... it looks skin like it didn't look like a mask on my face... it stayed mainly around like on my T-zone... it did help to even that out... the glowiness does still show my texture even with a powder... it is a hit or miss and so you do have to be a little bit careful with your application.
Giorgio Armani Luminous Silk,Giorgio Armani,Maryam Maquillage,comparison,acne-prone,yes,medium,olive,6,not_tested,,not_mentioned,not_mentioned,not_mentioned,mixed,False,"It's like looking off and odd. Maybe it's just me, but I feel like this one applies a little bit patchier, or maybe this is just in my head. I don't know. Maybe I don't want to like this reformulated foundation."
Giorgio Armani Luminous Silk,Giorgio Armani,Clare Walch,single_review,combination,unknown,medium,cool,3.75,mostly,8,not_mentioned,no,not_mentioned,positive,False,"It's been nearly 8 hours that I've had this on, and it's looking pretty good... I actually think it's held up really, really well... It dries down so so well... There's like no transfer."
Hourglass Vanish,Hourglass,Nikkia Joy,single_review,oily,yes,medium,unknown,beige,mostly,9,no,no,not_mentioned,positive,False,It is very full coverage but it's very very light on the skin like you wouldn't even know you know that it was a full coverage Foundation you'd feel like you were wearing a lighter coverage Foundation.
Hourglass Vanish,Hourglass,Samantha Jane,single_review,oily,unknown,medium,warm,golden tan,mostly,8,not_mentioned,no,yes,positive,False,"I definitely do recommend this foundation, it's my favorite stick foundation that has a good amount of coverage in it."
Hourglass Vanish,Hourglass,Shuana Fayaz ,single_review,oily,unknown,unknown,warm,Amba,no,13,not_mentioned,no,not_mentioned,mixed,False,it has been there 13 hours and I look like a hot mess I look very shiny ... it looks slightly separated but the rest of my face looks okay ... the color still looks really nice it hasn't oxidized
Hourglass Vanish,Hourglass,Nishitha Vunnam,single_review,normal,unknown,medium,warm,honey,mostly,7.5,not_mentioned,no,no,negative,False,I feel like there are more cons than pros so I honestly do not think this is the best foundation that I've ever tried and if you come to me and ask me for a good foundation this wouldn't be the first one I would recommend.
Hourglass Vanish,Hourglass,Stephanie Marie,single_review,oily combination,unknown,light,warm,ivory,no,,not_mentioned,not_mentioned,no,negative,False,I will not be buying a full-size of this foundation and I will tell you why I have oily combination skin....I just don't feel like I look like I'm wearing makeup and I do not stay shine-free long
Hourglass Vanish,Hourglass,Fayy Lenee,single_review,oily,unknown,unknown,olive,Golden Amber,no,4,not_mentioned,not_mentioned,no,negative,False,after about 4 hours my face looked a hot mess it was separating it was cakey it just looked gross and I was ready to get it off of my face
Huda Beauty FauxFilter,Huda Beauty,Stephanie Alford,single_review,"oily, combination",yes,medium,unknown,,mostly,7,not_mentioned,not_mentioned,yes,positive,False,I definitely would say that I would recommend this foundation do not change your entire makeup routine if you have a primer that you are gung-ho about I definitely would stick with it stick with your normal prepping routine and then add this foundation on top of it
Huda Beauty FauxFilter,Huda Beauty,SilviaMBeauty,roundup,combination to oily,unknown,light,neutral,cheesecake,mostly,10,not_mentioned,no,not_mentioned,positive,False,the coverage of this foundation is so nice it's ridiculous it says on the website at its medium and full coverage but it this is definitely full coverage which I prefer a full coverage foundation
Huda Beauty FauxFilter,Huda Beauty,Raval Kaur,single_review,dry with a little oiliness around nose,unknown,medium,warm,toffee (420G),no,3,not_mentioned,yes,not_mentioned,mixed,True,I also feel like because I've eaten this part of the foundation it's kind of worn off like I think it needs a touch-up
Huda Beauty FauxFilter,Huda Beauty,OmabelleTV,single_review,oily,yes,medium,warm,cinnamon,mostly,10,not_mentioned,no,not_mentioned,positive,False,I've had it on for 10 hours and this is all I could produce when it comes to oil... with this one right here I've had it on for 10 hours and this is all I could produce... if you just go in with a blotting powder... you will think I just applied my makeup right now... I'm very very impressed with this foundation
Huda Beauty FauxFilter,Huda Beauty,Ruby Golani,single_review,dry,yes,medium,warm,custard 220 N,not_tested,8,not_mentioned,no,not_mentioned,positive,False,I give this foundation a 10 out of 10 because the coverage on this is amazing... It still looks very very flawless... It hasn't really addressed any new textural issues on my skin...
